 ACCT1121-2 + CITS2224-1 + CITS2023-2 + CITS3221-2 + CITS3224-1 + CITS3220-2 + CITS3021-1 + STAT2021-1 	 1 (2.0%) 
 CITS2023-2 + MATH2231-1 + MATH2521-2 + PHYS2221-1 + PHYS2223-2 + SCOM2228-1 + STAT2021-1 + STAT2023-2 	 1 (2.0%) 
 CITS1023-2 + CITS2023-2 + CITS3025-1 + IMED2221-1 + IMED2224-1 + IMED2225-2 + IMED2220-2 + STAT2021-1 	 1 (2.0%) 
 CITS1021-1 + CITS1023-2 + CITS2023-2 + MKTG1225-1 + STAT1024-1 + STAT2023-2 	 1 (2.0%) 
 CITS2023-2 + ENSC3213-2 + ENSC3211-2 + FINA3326-2 	 1 (2.0%) 
 CITS2021-1 + CITS2023-2 + CITS3220-2 + CITS3223-2 + CITS3021-1 + PACM1124-1 + STAT2021-1 + STAT3260-2 	 1 (2.0%) 
 CITS2224-1 + CITS2023-2 + CITS3221-2 + CITS3224-1 + CITS3220-2 + CITS3223-2 + CITS3025-1 + STAT3025-1 	 1 (2.0%) 
 CITS1221-2 + CITS1021-1 + CITS1023-2 + CITS2223-2 + CITS2023-2 + MATH1211-1 + MATH1214-1 + STAT1024-1 	 1 (2.0%) 
 CITS2223-2 + CITS2224-1 + CITS2211-2 + CITS2023-2 + GRMN2025-1 + GRMN2020-2 + LING1221-1 + STAT1024-1 	 1 (2.0%) 
 CITS2224-1 + CITS2211-2 + CITS2023-2 + CITS3223-2 + CITS3025-1 + STAT1024-1 	 1 (2.0%) 
 CITS2023-2 + CITS3220-2 + CITS3021-1 + ECON2126-1 + ECON2235-1 + ECON2230-2 + STAT2021-1 + STAT2023-2 	 1 (2.0%) 
 CITS2023-2 + ECON1124-1 + ECON2230-2 + FINA2227-1 + FINA2224-1 + PSYC1123-2 + STAT2021-1 + STAT2023-2 	 1 (2.0%) 
 ANHB1123-2 + CHEM1221-1 + CITS2023-2 + MATH2221-1 + SCIE1126-2 + STAT1524-1 + STAT2263-2 + STAT2021-1 	 1 (2.0%) 
 CITS2023-2 + ENSC2224-1 + ENSC3224-1 + ENSC3225-1 + ENSC3220-1 + ENSC3227-2 + MKTG1225-2 + STAT1023-2 	 1 (2.0%) 
 ACCT1121-1 + CITS1021-1 + CITS1023-2 + CITS2023-2 + FINA1221-1 + FINA2223-2 + STAT1024-1 + STAT1523-2 	 1 (2.0%) 
 CITS2023-2 + ECON1121-2 + GEOG2221-1 + GRMN1021-1 + GRMN1023-2 + MKTG1225-1 + STAT2021-1 + STAT2023-2 	 1 (2.0%) 
 CITS1221-1 + CITS2023-2 + FREN1021-2 + MATH1721-2 + STAT1023-2 	 1 (2.0%) 
 ASIA3223-2 + CITS2023-2 + CITS3221-2 + ENSC1225-1 + JAPN3025-1 + JAPN3026-2 	 1 (2.0%) 
 AACE1224-ACE-2 + CARS1224-ACE-2 + CITS1023-2 + CITS2021-1 + CITS2023-2 + INDG1224-ACE-2 + STAT1024-1 + STAT2023-2 	 1 (2.0%) 
 CITS1221-2 + CITS1021-1 + CITS1023-2 + CITS2023-2 + MATH1721-1 + PACM1121-1 + STAT1024-1 	 1 (2.0%) 
 CITS2023-2 + CITS3221-2 + CITS3224-1 + CITS3225-1 + CITS3223-2 + CITS3025-1 + SSEH1120-1 	 1 (2.0%) 
 CITS2224-1 + CITS2211-2 + CITS2023-2 + CITS3221-2 + CITS3025-1 + PHIL1224-1 + STAT2021-1 + STAT3260-2 	 1 (2.0%) 
 CITS2224-1 + CITS2023-2 + CITS3223-2 + CITS3025-1 + ECON1121-1 + ECON1124-1 + STAT2023-2 + STAT3260-2 	 1 (2.0%) 
 ASIA3226-2 + CITS2224-1 + CITS2023-2 + CITS3220-2 + CITS3021-1 + KORE2025-1 + KORE2020-2 + STAT2021-1 + STAT2023-2 	 1 (2.0%) 
 CITS2023-2 	 1 (2.0%) 
 ACCT1121-1 + CITS2023-2 + LAWS2221-1 + LAWS2227-2 + LAWS2321-2 + MKTG1225-1 + STAT2021-1 + STAT2023-2 + SVLG1225-Y3 	 1 (2.0%) 
 CITS2023-2 + CITS3221-2 + CITS3225-1 + CITS3223-2 + CITS3021-1 + CITS3025-1 + MKTG1225-2 + SSEH1125-1 	 1 (2.0%) 
 CITS2223-2 + CITS2224-1 + CITS2211-2 + CITS2023-2 + CITS3225-1 + CITS3220-2 + CITS3021-1 + CITS3025-1 	 1 (2.0%) 
 BUSN1123-2 + CITS1021-1 + CITS2023-2 + CITS3021-1 + MKTG1225-2 + PHAR2214-1 + PHAR2223-2 + STAT1024-1 	 1 (2.0%) 
 CITS1021-1 + CITS2223-2 + CITS2211-2 + CITS2021-1 + CITS2023-2 + CITS3220-2 + ENSC2221-1 + MATH2221-1 	 1 (2.0%) 
 CITS1021-1 + CITS2224-1 + CITS2023-2 + CITS3221-2 + CITS3025-1 + ENSC1225-2 + ENSC2224-1 + ENSC3223-2 	 1 (2.0%) 
 CITS2224-1 + CITS2211-2 + CITS2023-2 + CITS3221-2 + CITS3025-1 + STAT2021-1 	 1 (2.0%) 
 CITS1021-1 + CITS1021-2 + CITS1023-2 + ENVT2221-2 + ENVT2254-1 + GEOG2221-1 + STAT1024-1 	 1 (2.0%) 
 CITS2023-2 + CITS3223-2 + CITS3021-1 + CITS3025-1 + STAT3260-2 	 1 (2.0%) 
 CITS1023-2 + CITS0229-2 + MGMT5520-2 + STAT2021-1 + STAT0260-2 	 1 (2.0%) 
 CITS2023-2 + MATH1723-2 + PSYC2228-2 + STAT2023-2 	 1 (2.0%) 
 CITS1023-2 + CITS2023-2 + FINA1221-2 + JAPN1021-1 + MKTG1220-1 + PHIL1224-1 	 1 (2.0%) 
 CITS1021-1 + CITS2023-2 + CITS3220-2 + CITS3021-1 + CITS3025-1 + STAT2021-1 + STAT2023-2 + STAT3260-2 	 1 (2.0%) 
 CITS1021-1 + CITS1023-2 + CITS2023-2 + STAT1024-1 + STAT2023-2 	 1 (2.0%) 
 CITS1023-2 + CITS2023-2 + CITS3025-1 + STAT2021-1 + STAT3025-1 	 1 (2.0%) 
 CITS1021-1 + CITS2023-2 + CITS3021-1 + MATH1214-1 + MATH2521-2 + PHYS2221-1 + PHYS2223-2 + STAT1023-2 	 1 (2.0%) 
 CITS2023-2 + MATH2221-1 + MATH2231-1 + MATH3223-2 + MATH3220-2 + STAT1024-1 + STAT2021-1 + STAT3260-2 	 1 (2.0%) 
 ACCT1121-2 + CITS1021-1 + CITS1023-2 + CITS2023-2 + ENSC1225-1 + FINA1221-1 + LAWS1120-1 + STAT1023-2 	 1 (2.0%) 
 CITS2224-1 + CITS2023-2 + CITS3221-2 + CITS3225-1 + CITS3223-2 + CITS3021-1 + CITS3025-1 	 1 (2.0%) 
 CITS1221-1 + CITS2023-2 + ENVT2224-1 + SCIE1121-1 + SPAN1021-2 + STAT2021-1 + STAT2023-2 + STAT3260-2 	 1 (2.0%) 
 CITS2224-1 + CITS2023-2 + CITS3220-2 + GEOG2221-1 + STAT2021-1 	 1 (2.0%) 
 CITS2223-2 + CITS2224-1 + CITS2211-2 + CITS2023-2 + MUSC1981-1 + STAT2021-1 	 1 (2.0%) 
 CITS2023-2 + CITS3221-2 + CITS3224-1 + CITS3021-1 + KORE1021-1 + MUSC1981-1 	 1 (2.0%) 
 ASIA1223-2 + CITS2023-2 + CITS3224-1 + CLAN1221-1 + EDUC1120-1 + INDG1153-2 	 1 (2.0%) 
 CITS2023-2 + CITS3224-1 + CITS3225-1 + CITS3223-2 + CITS3025-1 + FINA1221-1 + MUSC1255-2 + PHAR1121-2 	 1 (2.0%) 
 CITS1023-2 + CITS2023-2 + CITS3223-2 + CITS3021-1 + CITS3025-1 + ENGL2021-1 + STAT2021-1 + STAT3260-2 	 1 (2.0%) 
 CITS1021-1 + CITS2223-2 + CITS2224-1 + CITS2211-2 + CITS2021-2 + CITS2023-2 + PHIL1224-1 + STAT1024-1 	 1 (2.0%) 
 CITS1221-1 + CITS1021-1 + CITS1023-2 + CITS2223-2 + CITS2211-2 + CITS2023-2 + EDUC1124-1 + STAT1024-1 	 1 (2.0%) 
 CHIN2025-1 + CHIN2026-2 + CITS2023-2 + ENSC1225-2 + ENSC2221-1 + ENSC3221-2 + ENSC3220-1 + MUSC1981-1 	 1 (2.0%) 
 CITS2023-2 + CITS3220-2 + CITS3025-1 	 1 (2.0%) 
 CITS2223-2 + CITS2224-1 + CITS2211-2 + CITS2021-1 + CITS2023-2 + MATH1211-1 + STAT2021-1 + STAT2023-2 	 1 (2.0%) 
 CITS1021-1 + CITS2023-2 + ECON1121-1 + MKTG2238-2 + MKTG2321-2 + MKTG2325-1 + STAT2021-1 + STAT2023-2 	 1 (2.0%) 
 ACCT2114-1 + ACCT2331-1 + CITS2023-2 + CITS3021-1 + ECON2205-2 + MUSC1981-2 + STAT2021-1 + STAT2023-2 	 1 (2.0%) 
